;href;Название;УК;Объект;Специализация;География;Валюта;Пайщики;Взнос;пВзнос;Вознаграждение;Депозитарию;Прочие;Пай;6месП;1годП;3годаП;5летП;СЧА;6месС;1годС;3годаС;5летС;кШарпа;кСортино;Волатильность;VaR;alpha;beta;R2
0;https://investfunds.ru/funds/7099/;МКБ – Российские Дивидендные Акции ;МКБ Инвестиции;акции;Дивидендные акции;Россия;RUB;261;1000000;;0.55;0.3;0.15;941.29;32.41;27.15;;;337192065.45;159.78;1120.38;;;;;;;;;
1;https://investfunds.ru/funds/4497/;ТФГ – Акции ;ТРАНСФИНГРУП;акции;Широкий рынок;Россия;RUB;6;1000000;1000000.0;1.0;0.25;0.25;568.35;30.56;32.25;17.46;50.8;103209440.15;30.56;29.71;-93.08;-91.09;0.005;0.004;7.18;-11.14;0.343;0.983;96.24
2;https://investfunds.ru/funds/7469/;Технологии будущего ;Система Капитал;акции;Технологии;США;RUB;724;50;;0.65;0.18;0.15;4.74821;;;;;11870523.83;;;;;;;;;;;
3;https://investfunds.ru/funds/892/;Апрель Капитал - Акции сырьевых компаний ;Апрель Капитал;акции;Промышленность;Россия;RUB;175;1000;1000.0;3.54;1.0;1.0;503.42;25.7;28.58;62.85;90.79;46712323.56;23.77;23.37;26.45;16.06;0.094;0.08;8.17;-11.89;0.704;0.899;82.89
4;https://investfunds.ru/funds/492/;БСПБ - Сберегательный ;А-Капитал;облигации;Все секторы;Россия;RUB;368;10000;5000.0;1.0;0.35;0.45;384.79;4.07;9.28;16.07;35.08;1275581877.58;-2.54;-10.12;127.82;12528.09;0.052;0.052;0.9;-1.07;-3.699;0.073;15.9
5;https://investfunds.ru/funds/7067/;Тинькофф Облигации ;Тинькофф Капитал;облигации;Все секторы;Россия;RUB;121272;1000;;0.9;0.05;0.04;5.5461;6.01;12.93;;;3089594960.79;119.16;214.08;;;;;;;;;
6;https://investfunds.ru/funds/697/;Райффайзен - США ;Райффайзен Капитал;акции;Широкий рынок;США;RUB;12385;1000;1000.0;2.9;0.48;0.6;79227.8;45.15;66.76;62.92;96.94;8293857589.39;19.21;29.57;190.02;265.21;0.32;0.408;4.63;-5.67;-3.218;-0.197;9.26
7;https://investfunds.ru/funds/8616/;Курс на Восток ;Промсвязь;облигации;Государственные;Россия;RUB;2469;100;;1.0;0.39;1.0;1218.21;;;;;594187811.03;;;;;;;;;;;
8;https://investfunds.ru/funds/5973/;Ликвидность ;ВИМ Инвестиции;денежный;;Россия;RUB;127282;1000000;;0.21;0.09;0.2;1.24641;3.56;7.26;21.86;;18274017501.02;86.17;193.99;2027.96;;;;;;;;
9;https://investfunds.ru/funds/8365/;Ликвидная стратегия ;Райффайзен Капитал;акции;Широкий рынок;Россия;RUB;706;1000;;1.5;0.2;1.0;1028.44;2.91;;;;1134156666.02;859.96;;;;;;;;;;
10;https://investfunds.ru/funds/8590/;Дивидендные акции ;Промсвязь;акции;Широкий рынок;Россия;RUB;155;100;;3.2;0.39;1.0;1166.41;;;;;327678568.82;;;;;;;;;;;
11;https://investfunds.ru/funds/5469/;БКС Российские Еврооблигации ;Брокеркредитсервис;облигации;Корпоративные;Россия;USD;1924;10000;5000.0;1.0;0.5;1.5;12.48;-7.28;;-24.23;;7416560.13;100.6;;206.84;;;;;;;;
12;https://investfunds.ru/funds/7403/;Тинькофф Индекс Кибербезопасности ;Тинькофф Капитал;акции;Технологии;США;USD;47218;1000;1000.0;0.6;0.04;0.05;0.0816;13.97;5.02;;;4844331.57;-10.48;-33.17;;;;;;;;;
13;https://investfunds.ru/funds/3341/;Система Капитал - Резервный. Валютный ;Система Капитал;облигации;Все секторы;Глобальный;RUB;2;400000;200000.0;0.95;0.2;0.3;185.75;16.74;26.26;9.87;40.26;5026349741.98;16.74;26.25;9.04;38.9;0.132;0.166;2.72;-3.72;-4.576;-0.298;29.45
